void,rock,paper,scissors
0,3287,3500,3213
0,3294,3503,3203
0,3286,3534,3180
0,3294,3510,3196
0,3308,3535,3157
0,3333,3560,3107
0,3296,3523,3181
0,3296,3505,3199
0,3357,3616,3027
0,3372,3644,2984
0,3379,3688,2933
0,3378,3724,2898
0,3371,3768,2861
0,3347,3821,2832
0,3314,3881,2805
0,3272,3947,2781
0,3229,4013,2758
0,3344,3589,3067
0,3144,4144,2712
0,3441,3280,3279
0,3101,4191,2708
0,3053,4249,2698
0,2994,4315,2691
0,2958,4348,2694
0,2926,4369,2705
0,2898,4390,2712
0,2871,4405,2724
0,2851,4421,2728
0,2835,4443,2722
0,2825,4465,2710
0,2838,4481,2681
0,2839,4506,2655
0,2843,4527,2630
0,2855,4571,2574
0,2869,4618,2513
0,2893,4660,2447
0,2911,4710,2379
0,2917,4775,2308
0,2915,4848,2237
0,2920,4929,2151
0,2883,5020,2097
0,2829,5119,2052
0,2752,5238,2010
0,2689,5341,1970
0,2625,5445,1930
0,3185,4081,2734
0,2552,5560,1888
0,2488,5646,1866
0,2432,5716,1852
0,2379,5774,1847
0,2326,5825,1849
0,2274,5867,1859
0,2239,5879,1882
0,2201,5902,1897
0,2159,5927,1914
0,2140,5930,1930
0,2115,5942,1943
0,2124,5937,1939
0,2116,5943,1941
0,2122,5959,1919
0,2133,5973,1894
0,2150,5987,1863
0,2156,6002,1842
0,2161,6041,1798
0,2183,6081,1736
0,2164,6125,1711
0,2140,6174,1686
0,2110,6230,1660
0,2079,6287,1634
0,2039,6344,1617
0,1946,6470,1584
0,1887,6529,1584
0,1765,6649,1586
0,1991,6403,1606
0,1831,6586,1583
0,1737,6670,1593
0,1720,6676,1604
0,1701,6677,1622
0,1690,6668,1642
0,1677,6655,1668
0,1662,6635,1703
0,1640,6618,1742
0,1641,6577,1782
0,1643,6533,1824
0,1654,6478,1868
0,1670,6418,1912
0,1691,6353,1956
0,1718,6283,1999
0,1758,6200,2042
0,1796,6116,2088
0,1837,6029,2134
0,1880,5941,2179
0,1970,5760,2270
0,1924,5850,2226
0,2023,5667,2310
0,2116,5481,2403
0,2068,5576,2356
0,2163,5390,2447
0,2210,5297,2493
0,2257,5209,2534
0,2307,5116,2577
0,2353,5035,2612
0,2398,4956,2646
0,2446,4873,2681
0,2494,4796,2710
0,2540,4723,2737
0,2587,4651,2762
0,2632,4584,2784
0,2678,4516,2806
0,2716,4453,2831
0,2753,4392,2855
0,2791,4330,2879
0,2826,4271,2903
0,2857,4218,2925
0,2889,4163,2948
0,2917,4113,2970
0,2947,4060,2993
0,2977,4009,3014
0,3006,3959,3035
0,3033,3914,3053
0,3060,3869,3071
0,3084,3828,3088
0,3105,3786,3109
0,3128,3745,3127
0,3149,3705,3146
0,3189,3623,3188
0,3169,3661,3170
0,3208,3592,3200
0,3248,3526,3226
0,3228,3558,3214
0,3265,3496,3239
0,3301,3429,3270
0,3277,3472,3251
0,3322,3403,3275
0,3343,3381,3276
0,3370,3360,3270
0,3386,3343,3271
0,3400,3328,3272
0,3417,3312,3271
0,3431,3303,3266
0,3444,3294,3262
0,3456,3283,3261
0,3467,3282,3251
0,3477,3291,3232
0,3478,3290,3232
0,3477,3290,3233
0,3473,3294,3233
0,3468,3301,3231
0,3467,3314,3219
0,3459,3327,3214
0,3449,3337,3214
0,3430,3355,3215
0,3431,3356,3213
0,3434,3356,3210
0,3439,3355,3206
0,3440,3354,3206
0,3431,3350,3219
0,3421,3345,3234
0,3417,3334,3249
0,3413,3333,3254
0,3411,3333,3256
0,3405,3338,3257
0,3408,3336,3256
0,3399,3343,3258
0,3399,3342,3259
0,3415,3326,3259
0,3425,3314,3261
0,3432,3306,3262
0,3439,3296,3265
0,3438,3290,3272
0,3435,3287,3278
0,3434,3285,3281
0,3434,3285,3281
0,3436,3298,3266
0,3443,3308,3249
0,3436,3325,3239
0,3440,3328,3232
0,3446,3331,3223
0,3451,3330,3219
0,3453,3331,3216
0,3453,3325,3222
0,3443,3330,3227
0,3428,3334,3238
0,3417,3333,3250
0,3407,3338,3255
0,3397,3344,3259
0,3389,3350,3261
0,3381,3361,3258
0,3382,3359,3259
0,3378,3362,3260
0,3386,3354,3260
0,3400,3339,3261
0,3417,3320,3263
0,3425,3309,3266
0,3410,3327,3263
0,3428,3302,3270
0,3440,3277,3283
0,3444,3265,3291
0,3434,3290,3276
0,3450,3272,3278
0,3449,3286,3265
0,3446,3304,3250
0,3446,3296,3258
0,3445,3311,3244
0,3446,3311,3243
0,3450,3314,3236
0,3455,3322,3223
0,3462,3324,3214
0,3449,3325,3226
0,3447,3260,3293
0,3418,3331,3251
0,3435,3326,3239
0,3416,3314,3270
0,3412,3313,3275
0,3409,3315,3276
0,3413,3317,3270
0,3408,3321,3271
0,3406,3322,3272
0,3417,3312,3271
0,3431,3303,3266
0,3444,3294,3262
0,3456,3283,3261
0,3467,3282,3251
0,3477,3291,3232
0,3478,3290,3232
0,3477,3290,3233
0,3473,3294,3233
0,3468,3301,3231
0,3467,3314,3219
0,3449,3337,3214
0,3430,3355,3215
0,3431,3356,3213
0,3434,3356,3210
0,3439,3355,3206
0,3440,3354,3206
0,3431,3350,3219
0,3421,3345,3234
0,3417,3334,3249
0,3413,3333,3254
0,3411,3333,3256
0,3408,3336,3256
0,3405,3338,3257
0,3399,3343,3258
0,3399,3342,3259
0,3415,3326,3259
0,3425,3314,3261
0,3432,3306,3262
0,3439,3296,3265
0,3438,3290,3272
0,3435,3287,3278
0,3434,3285,3281
0,3434,3285,3281
0,3436,3298,3266
0,3443,3308,3249
0,3436,3325,3239
0,3440,3328,3232
0,3446,3331,3223
0,3451,3330,3219
0,3453,3331,3216
0,3453,3325,3222
0,3443,3330,3227
0,3428,3334,3238
0,3407,3338,3255
0,3417,3333,3250
0,3389,3350,3261
0,3382,3359,3259
0,3397,3344,3259
0,3381,3361,3258
0,3378,3362,3260
0,3386,3354,3260
0,3400,3339,3261
0,3410,3327,3263
0,3417,3320,3263
0,3425,3309,3266
0,3428,3302,3270
0,3434,3290,3276
0,3440,3277,3283
0,3444,3265,3291
0,3447,3260,3293
0,3450,3272,3278
0,3449,3286,3265
0,3446,3296,3258
0,3459,3327,3214
0,3446,3311,3243
0,3446,3304,3250
0,3450,3314,3236
0,3455,3322,3223
0,3449,3325,3226
0,3445,3311,3244
0,3435,3326,3239
0,3462,3324,3214
0,3416,3314,3270
0,3412,3313,3275
0,3409,3315,3276
0,3413,3317,3270
0,3408,3321,3271
0,3406,3322,3272
0,3417,3312,3271
0,3431,3303,3266
0,3418,3331,3251
0,3456,3283,3261
0,3467,3282,3251
0,3444,3294,3262
0,3478,3290,3232
0,3477,3290,3233
0,3473,3294,3233
0,3468,3301,3231
0,3477,3291,3232
0,3459,3327,3214
0,3449,3337,3214
0,3430,3355,3215
0,3431,3356,3213
0,3434,3356,3210
0,3439,3355,3206
0,3440,3354,3206
0,3431,3350,3219
0,3421,3345,3234
0,3467,3314,3219
0,3413,3333,3254
0,3411,3333,3256
0,3408,3336,3256
0,3399,3343,3258
0,3415,3326,3259
0,3399,3342,3259
0,3432,3306,3262
0,3417,3334,3249
0,3425,3314,3261
0,3439,3296,3265
0,3405,3338,3257
0,3438,3290,3272
0,3435,3287,3278
0,3434,3285,3281
0,3436,3298,3266
0,3434,3285,3281
0,3443,3308,3249
0,3436,3325,3239
0,3446,3331,3223
0,3440,3328,3232
0,3451,3330,3219
0,3453,3331,3216
0,3428,3334,3238
0,3443,3330,3227
0,3417,3333,3250
0,3397,3344,3259
0,3453,3325,3222
0,3382,3359,3259
0,3389,3350,3261
0,3407,3338,3255
0,3381,3361,3258
0,3386,3354,3260
0,3378,3362,3260
0,3400,3339,3261
0,3417,3320,3263
0,3410,3327,3263
0,3428,3302,3270
0,3425,3309,3266
0,3440,3277,3283
0,3447,3260,3293
0,3444,3265,3291
0,3434,3290,3276
0,3450,3272,3278
0,3446,3304,3250
0,3446,3296,3258
0,3445,3311,3244
0,3446,3311,3243
0,3450,3314,3236
0,3455,3322,3223
0,3449,3325,3226
0,3462,3324,3214
0,3435,3326,3239
0,3418,3331,3251
0,3416,3314,3270
0,3412,3313,3275
0,3409,3315,3276
0,3413,3317,3270
0,3408,3321,3271
0,3417,3312,3271
0,3406,3322,3272
0,3431,3303,3266
0,3444,3294,3262
0,3449,3286,3265
0,3467,3282,3251
